"","TITULO_PROJETO","","UF_PROPONENTE","SITUACAO_REGISTRO","CNPJ_PROPONENTE","RAZAO_SOCIAL_PROPONENTE","LEI_8313","ART1","ART1A","ART3","ART3A","ART39","FUNCINES","TOTAL_CAPTADO"
"","O DIA EM QUE O BRASIL ESTEVE AQUI","","SP","DEFERIDO","00.020.648/0001-20","PRODIGO FILMS LTDA","190000","440000","0","0","0","0","0","630000"
"","A Hora e a Vez de Augusto Matraga","","SP","DEFERIDO","00.020.648/0001-20","PRODIGO FILMS LTDA","0","2604045","970000","0","0","0","0","3574045"
"","","","SP","DEFERIDO","00.020.648/0001-20","PRODIGO FILMS LTDA","0","310251","1000000","0","0","0","0","1310251"
"","","","SP","DEFERIDO","00.020.648/0001-20","PRODIGO FILMS LTDA","162500","0","0","0","0","0","0","162500"
"","O Guia (ex-Cozinha Punk)","","SP","DEFERIDO","00.020.648/0001-20","PRODIGO FILMS LTDA","0","0","0","0","0","704999,78","0","704999,78"
"","Ser, Osesp (Ex-Prazer, Osesp)","","SP","DEFERIDO","00.020.648/0001-20","PRODIGO FILMS LTDA","0","0","0","0","0","14152,05","0","14152,05"
"","FDP","","SP","DEFERIDO","00.020.648/0001-20","PRODIGO FILMS LTDA","0","0","0","0","2999999,99","5702901,9","0","8702901,89"
"","","","SP","DEFERIDO","00.020.648/0001-20","PRODIGO FILMS LTDA","0","1500100","800000","0","0","0","0","2300100"
"","","","SP","DEFERIDO","00.020.648/0001-20","PRODIGO FILMS LTDA","0","0","0","0","0","930000","0","930000"
"","","","SP","DEFERIDO","00.020.648/0001-20","PRODIGO FILMS LTDA","0","0","0","0","0","1209006,94","0","1209006,94"
"","OUTROS TEMPOS - VELHOS (Ex- Outros Tempos - Velhice (Ex: Aging - No Meu Tempo)","","SP","DEFERIDO","00.020.648/0001-20","PRODIGO FILMS LTDA","0","0","0","0","0","2134542,17","0","2134542,17"
"","Outros Tempos - Jovens (Ex- Aging - Jovens)","","SP","DEFERIDO","00.020.648/0001-20","PRODIGO FILMS LTDA","0","0","0","0","0","2176806,15","0","2176806,15"
"","","","SP","DEFERIDO","00.020.648/0001-20","PRODIGO FILMS LTDA","0","0","0","0","0","1787549,83","0","1787549,83"
"","","","SP","DEFERIDO","00.020.648/0001-20","PRODIGO FILMS LTDA","0","0","0","0","0","1652750,15","0","1652750,15"
"","","","SP","DEFERIDO","00.020.648/0001-20","PRODIGO FILMS LTDA","0","0","0","0","150000","0","0","150000"
